행정구역별,종류별,항목,단위,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년
충청남도,일반혼인율(아내),"출생,사망,혼인,이혼",,12.7,13.2,13,12.9,12.7,12.1,12.4,11.6,10.7,10.4,10.9,9.5
충청남도,일반이혼율(남편),"출생,사망,혼인,이혼",,6.1,5.5,5.5,5.5,5.6,5.6,5.3,5.2,5.3,5.3,5.6,5.4
충청남도,일반이혼율(아내),"출생,사망,혼인,이혼",,5.5,4.9,4.9,5,5,5,4.8,4.8,5,5,5.8,5.6
전라북도,출생아수(명),"출생,사망,혼인,이혼",,15233,16100,16175,16238,14555,14231,14087,12698,11348,10001,8971,8165
전라북도,조출생률(천명당),"출생,사망,혼인,이혼",,8.2,8.7,8.7,8.7,7.8,7.7,7.6,6.8,6.1,5.5,4.9,4.5
전라북도,사망자수(명),"출생,사망,혼인,이혼",,12921,13188,13126,13700,13492,13563,13721,14062,14295,14552,14525,14691
전라북도,조사망률(천명당),"출생,사망,혼인,이혼",,7,7.1,7.1,7.4,7.3,7.3,7.4,7.6,7.7,7.9,8,8.2
전라북도,자연증가건수(명),"출생,사망,혼인,이혼",,2312,2912,3049,2538,1063,668,366,-1364,-2947,-4551,-5554,-6526
전라북도,자연증가율(천명당),"출생,사망,혼인,이혼",,1.2,1.6,1.6,1.4,0.6,0.4,0.2,-0.7,-1.6,-2.5,-3.1,-3.6
전라북도,혼인건수(건),"출생,사망,혼인,이혼",,9605,10525,10353,10022,9823,9211,9060,8216,7817,7219,7005,6053
전라북도,조혼인율(천명당),"출생,사망,혼인,이혼",,5.2,5.7,5.6,5.4,5.3,5,4.9,4.4,4.2,3.9,3.9,3.4
전라북도,이혼건수(건),"출생,사망,혼인,이혼",,4285,3910,4176,3856,4144,4091,3755,3979,3698,3934,4007,3763
전라북도,조이혼율(천명당),"출생,사망,혼인,이혼",,2.3,2.1,2.2,2.1,2.2,2.2,2,2.1,2,2.1,2.2,2.1
전라북도,합계출산율,"출생,사망,혼인,이혼",,1.279,1.374,1.405,1.44,1.32,1.329,1.352,1.251,1.151,1.044,0.971,0.909
전라북도,일반혼인율(남편),"출생,사망,혼인,이혼",,12.6,13.7,13.4,12.8,12.5,11.7,11.4,10.3,9.8,9.1,8.9,7.7
전라북도,일반혼인율(아내),"출생,사망,혼인,이혼",,11.5,12.6,12.5,11.8,11.7,10.9,10.7,9.6,9.1,8.5,8.7,7.6
전라북도,일반이혼율(남편),"출생,사망,혼인,이혼",,5.6,5.1,5.4,4.9,5.3,5.2,4.7,5,4.7,5,5.1,4.8
전라북도,일반이혼율(아내),"출생,사망,혼인,이혼",,4.9,4.4,4.7,4.3,4.7,4.6,4.3,4.5,4.3,4.5,5,4.7
전라남도,출생아수(명),"출생,사망,혼인,이혼",,15995,16654,16612,16990,15401,14817,15061,13980,12354,11238,10832,9738
전라남도,조출생률(천명당),"출생,사망,혼인,이혼",,8.3,8.7,8.7,9,8.1,7.8,8,7.4,6.5,6,5.8,5.3
전라남도,사망자수(명),"출생,사망,혼인,이혼",,15734,16042,16090,16766,16332,16053,16543,16561,16848,17219,16787,17436
전라남도,조사망률(천명당),"출생,사망,혼인,이혼",,8.2,8.4,8.5,8.8,8.6,8.5,8.7,8.7,8.9,9.2,9,9.4
전라남도,자연증가건수(명),"출생,사망,혼인,이혼",,261,612,522,224,-931,-1236,-1482,-2581,-4494,-5981,-5955,-7698
전라남도,자연증가율(천명당),"출생,사망,혼인,이혼",,0.1,0.3,0.3,0.1,-0.5,-0.7,-0.8,-1.4,-2.4,-3.2,-3.2,-4.2
전라남도,혼인건수(건),"출생,사망,혼인,이혼",,10051,10461,10266,9827,9995,9357,9275,8554,8049,7587,7413,6365
전라남도,조혼인율(천명당),"출생,사망,혼인,이혼",,5.2,5.5,5.4,5.2,5.3,4.9,4.9,4.5,4.3,4,4,3.4
전라남도,이혼건수(건),"출생,사망,혼인,이혼",,4290,4326,4138,4011,4096,4135,4033,3965,4008,4170,4130,3907
전라남도,조이혼율(천명당),"출생,사망,혼인,이혼",,2.2,2.3,2.2,2.1,2.2,2.2,2.1,2.1,2.1,2.2,2.2,2.1
전라남도,합계출산율,"출생,사망,혼인,이혼",,1.445,1.537,1.568,1.642,1.518,1.497,1.549,1.466,1.325,1.24,1.234,1.145
전라남도,일반혼인율(남편),"출생,사망,혼인,이혼",,12.6,13.1,12.8,12.2,12.4,11.5,11.3,10.4,9.8,9.2,9,7.8
전라남도,일반혼인율(아내),"출생,사망,혼인,이혼",,10.6,10.9,11.1,10.7,10.6,10.3,10.3,9.5,8.8,8.2,9,7.8
전라남도,일반이혼율(남편),"출생,사망,혼인,이혼",,5.4,5.4,5.2,5,5.1,5.1,4.9,4.8,4.9,5.1,5,4.8
전라남도,일반이혼율(아내),"출생,사망,혼인,이혼",,4.3,4.2,4.1,4,4.1,4.1,4,4,4.1,4.3,5,4.8
경상북도,출생아수(명),"출생,사망,혼인,이혼",,22373,23700,24250,24635,22206,22062,22310,20616,17957,16079,14472,12873
경상북도,조출생률(천명당),"출생,사망,혼인,이혼",,8.4,8.9,9.1,9.2,8.3,8.2,8.3,7.7,6.7,6,5.5,4.9
경상북도,사망자수(명),"출생,사망,혼인,이혼",,19627,20249,20237,20644,20245,20304,20862,20978,21278,22289,21703,22799
경상북도,조사망률(천명당),"출생,사망,혼인,이혼",,7.3,7.6,7.6,7.7,7.6,7.6,7.8,7.8,7.9,8.4,8.2,8.6
경상북도,자연증가건수(명),"출생,사망,혼인,이혼",,2746,3451,4013,3991,1961,1758,1448,-362,-3321,-6210,-7231,-9926
경상북도,자연증가율(천명당),"출생,사망,혼인,이혼",,1,1.3,1.5,1.5,0.7,0.7,0.5,-0.1,-1.2,-2.3,-2.7,-3.8
경상북도,혼인건수(건),"출생,사망,혼인,이혼",,14499,15592,15942,15383,15421,14183,14273,13363,12190,11687,10637,9046
경상북도,조혼인율(천명당),"출생,사망,혼인,이혼",,5.4,5.8,6,5.7,5.8,5.3,5.3,5,4.6,4.4,4,3.4
경상북도,이혼건수(건),"출생,사망,혼인,이혼",,5523,5476,5322,5562,5410,5503,5348,5375,5505,5620,5635,5553
경상북도,조이혼율(천명당),"출생,사망,혼인,이혼",,2.1,2.1,2,2.1,2,2.1,2,2,2.1,2.1,2.1,2.1
경상북도,합계출산율,"출생,사망,혼인,이혼",,1.274,1.377,1.434,1.489,1.379,1.408,1.464,1.396,1.256,1.167,1.089,1.003
경상북도,일반혼인율(남편),"출생,사망,혼인,이혼",,12.9,13.8,14,13.4,13.3,12.2,12.2,11.4,10.4,10,9.1,7.7
경상북도,일반혼인율(아내),"출생,사망,혼인,이혼",,11.9,12.4,12.8,12.2,12.3,11.4,11.4,10.6,9.6,9.1,9.1,7.8
경상북도,일반이혼율(남편),"출생,사망,혼인,이혼",,4.9,4.8,4.7,4.8,4.7,4.7,4.6,4.6,4.7,4.8,4.8,4.7
경상북도,일반이혼율(아내),"출생,사망,혼인,이혼",,4.3,4.2,4.1,4.2,4.1,4.3,4.2,4.1,4.3,4.3,4.8,4.8
경상남도,출생아수(명),"출생,사망,혼인,이혼",,30320,32203,32536,33211,29504,29763,29537,27138,23849,21224,19250,16823
경상남도,조출생률(천명당),"출생,사망,혼인,이혼",,9.4,9.9,9.9,10.1,8.9,9,8.9,8.1,7.1,6.3,5.7,5
경상남도,사망자수(명),"출생,사망,혼인,이혼",,19157,19502,19593,20419,19994,20239,21313,21193,21634,22719,22105,22881
경상남도,조사망률(천명당),"출생,사망,혼인,이혼",,5.9,6,6,6.2,6.1,6.1,6.4,6.3,6.4,6.8,6.6,6.9
경상남도,자연증가건수(명),"출생,사망,혼인,이혼",,11163,12701,12943,12792,9510,9524,8224,5945,2215,-1495,-2855,-6058
경상남도,자연증가율(천명당),"출생,사망,혼인,이혼",,3.4,3.9,4,3.9,2.9,2.9,2.5,1.8,0.7,-0.4,-0.9,-1.8
경상남도,혼인건수(건),"출생,사망,혼인,이혼",,19494,21170,20769,20140,20291,19056,18671,17580,15978,14996,13613,11900
경상남도,조혼인율(천명당),"출생,사망,혼인,이혼",,6,6.5,6.3,6.1,6.1,5.7,5.6,5.3,4.8,4.5,4.1,3.6
경상남도,이혼건수(건),"출생,사망,혼인,이혼",,7476,7503,7207,7427,7547,7602,7368,7486,7355,7575,7827,7368
경상남도,조이혼율(천명당),"출생,사망,혼인,이혼",,2.3,2.3,2.2,2.3,2.3,2.3,2.2,2.2,2.2,2.3,2.3,2.2
경상남도,합계출산율,"출생,사망,혼인,이혼",,1.323,1.413,1.446,1.503,1.367,1.409,1.437,1.358,1.227,1.122,1.046,0.945
경상남도,일반혼인율(남편),"출생,사망,혼인,이혼",,14.7,15.7,15.2,14.6,14.5,13.5,13.1,12.2,11,10.3,9.4,8.2
경상남도,일반혼인율(아내),"출생,사망,혼인,이혼",,12.8,13.7,13.4,13.1,13.3,12.5,12,11.3,10.2,9.6,9.4,8.2
경상남도,일반이혼율(남편),"출생,사망,혼인,이혼",,5.6,5.6,5.3,5.4,5.4,5.4,5.2,5.2,5.1,5.2,5.4,5.1
경상남도,일반이혼율(아내),"출생,사망,혼인,이혼",,5.1,5.2,4.8,5,5,5,4.8,4.9,4.8,4.9,5.4,5.1
제주특별자치도,출생아수(명),"출생,사망,혼인,이혼",,5433,5657,5628,5992,5328,5526,5600,5494,5037,4781,4500,3989
제주특별자치도,조출생률(천명당),"출생,사망,혼인,이혼",,9.7,10,9.9,10.4,9.1,9.3,9.2,8.7,7.8,7.3,6.8,6
제주특별자치도,사망자수(명),"출생,사망,혼인,이혼",,2823,3017,3021,3238,3317,3300,3339,3542,3738,3912,3959,3952
제주특별자치도,조사망률(천명당),"출생,사망,혼인,이혼",,5,5.3,5.3,5.6,5.7,5.5,5.5,5.6,5.8,6,6,5.9
제주특별자치도,자연증가건수(명),"출생,사망,혼인,이혼",,2610,2640,2607,2754,2011,2226,2261,1952,1299,869,541,37
제주특별자치도,자연증가율(천명당),"출생,사망,혼인,이혼",,4.6,4.7,4.6,4.8,3.4,3.7,3.7,3.1,2,1.3,0.8,0.1
제주특별자치도,혼인건수(건),"출생,사망,혼인,이혼",,3279,3515,3582,3482,3638,3593,3676,3705,3654,3638,3358,2981
제주특별자치도,조혼인율(천명당),"출생,사망,혼인,이혼",,5.8,6.2,6.3,6.1,6.2,6,6,5.9,5.7,5.5,5.1,4.5
제주특별자치도,이혼건수(건),"출생,사망,혼인,이혼",,1469,1466,1395,1426,1440,1530,1447,1552,1530,1607,1716,1744
제주특별자치도,조이혼율(천명당),"출생,사망,혼인,이혼",,2.6,2.6,2.5,2.5,2.5,2.6,2.4,2.5,2.4,2.4,2.6,2.6
제주특별자치도,합계출산율,"출생,사망,혼인,이혼",,1.378,1.463,1.487,1.598,1.427,1.481,1.477,1.432,1.305,1.22,1.145,1.021
제주특별자치도,일반혼인율(남편),"출생,사망,혼인,이혼",,14.6,15.5,15.5,14.8,15.1,14.5,14.4,14,13.4,13,11.8,10.4
제주특별자치도,일반혼인율(아내),"출생,사망,혼인,이혼",,13.6,14,14.1,13.7,14.1,13.6,13.2,12.6,12.2,11.6,11.9,10.4
제주특별자치도,일반이혼율(남편),"출생,사망,혼인,이혼",,6.6,6.5,6,6.1,6,6.2,5.7,5.9,5.6,5.7,6.1,6.1
제주특별자치도,일반이혼율(아내),"출생,사망,혼인,이혼",,6.3,5.9,5.5,5.6,5.6,5.6,5.3,5.7,5.4,5.3,6.1,6.1
